"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 16:20:51 CEST 2023","Tue Apr 11 16:20:52 CEST 2023","1214","Google Chrome","task-creation.spec.ts","","","","New task is in the end",""
"passed","Tue Apr 11 16:20:48 CEST 2023","Tue Apr 11 16:20:50 CEST 2023","1882","Google Chrome","task-creation.spec.ts","","","","No limitations for date provided ("""")",""
"passed","Tue Apr 11 16:20:48 CEST 2023","Tue Apr 11 16:20:50 CEST 2023","1767","Google Chrome","task-creation.spec.ts","","","","No limitations for task with name """"",""
"passed","Tue Apr 11 16:20:55 CEST 2023","Tue Apr 11 16:21:02 CEST 2023","6978","Google Chrome","task-statuses.spec.ts","","","","Timer stops when pause button clicked",""
"passed","Tue Apr 11 16:20:48 CEST 2023","Tue Apr 11 16:20:50 CEST 2023","1566","Google Chrome","task-creation.spec.ts","","","","No limitations for task with name ""!@#$%^&*()_-+=""",""
"passed","Tue Apr 11 16:20:48 CEST 2023","Tue Apr 11 16:20:50 CEST 2023","1511","Google Chrome","apperance.spec.ts","","","","There are two headers on the page",""
"passed","Tue Apr 11 16:20:50 CEST 2023","Tue Apr 11 16:20:51 CEST 2023","1181","Google Chrome","task-creation.spec.ts","","","","No limitations for estimation (""0"")",""
"passed","Tue Apr 11 16:20:52 CEST 2023","Tue Apr 11 16:20:54 CEST 2023","1101","Google Chrome","task-statuses.spec.ts","","","","waiting -> deleted: true",""
"passed","Tue Apr 11 16:20:53 CEST 2023","Tue Apr 11 16:20:54 CEST 2023","1137","Google Chrome","task-statuses.spec.ts","","","","in progress -> waiting: true",""
"passed","Tue Apr 11 16:20:54 CEST 2023","Tue Apr 11 16:20:55 CEST 2023","1397","Google Chrome","task-statuses.spec.ts","","","","done -> waiting: false",""
"passed","Tue Apr 11 16:20:54 CEST 2023","Tue Apr 11 16:20:56 CEST 2023","1264","Google Chrome","task-statuses.spec.ts","","","","done -> done: false",""
"passed","Tue Apr 11 16:20:50 CEST 2023","Tue Apr 11 16:20:51 CEST 2023","1058","Google Chrome","task-creation.spec.ts","","","","No limitations for date provided (""12.04.2023"")",""
"passed","Tue Apr 11 16:20:52 CEST 2023","Tue Apr 11 16:20:53 CEST 2023","1114","Google Chrome","task-statuses.spec.ts","","","","waiting -> waiting: false",""
"passed","Tue Apr 11 16:20:50 CEST 2023","Tue Apr 11 16:20:52 CEST 2023","1152","Google Chrome","task-creation.spec.ts","","","","No limitations for estimation (""1"")",""
"passed","Tue Apr 11 16:20:53 CEST 2023","Tue Apr 11 16:20:55 CEST 2023","1547","Google Chrome","task-statuses.spec.ts","","","","in progress -> deleted: true",""
"passed","Tue Apr 11 16:20:48 CEST 2023","Tue Apr 11 16:20:50 CEST 2023","2102","Google Chrome","task-creation.spec.ts","","","","No limitations for task with name ""Test name""",""
"passed","Tue Apr 11 16:20:51 CEST 2023","Tue Apr 11 16:20:53 CEST 2023","1358","Google Chrome","task-deletion.spec.ts","","","","Last task can be deleted",""
"passed","Tue Apr 11 16:20:55 CEST 2023","Tue Apr 11 16:20:59 CEST 2023","3964","Google Chrome","task-statuses.spec.ts","","","","Button label back to Start after task is paused",""
"passed","Tue Apr 11 16:20:51 CEST 2023","Tue Apr 11 16:20:53 CEST 2023","1335","Google Chrome","task-deletion.spec.ts","","","","First task can be deleted",""
"passed","Tue Apr 11 16:20:55 CEST 2023","Tue Apr 11 16:21:02 CEST 2023","6939","Google Chrome","task-statuses.spec.ts","","","","Timer starts when pass status to in progress",""
"passed","Tue Apr 11 16:20:54 CEST 2023","Tue Apr 11 16:20:55 CEST 2023","1514","Google Chrome","task-statuses.spec.ts","","","","done -> in progress: false",""
"passed","Tue Apr 11 16:20:54 CEST 2023","Tue Apr 11 16:20:55 CEST 2023","1344","Google Chrome","task-statuses.spec.ts","","","","done -> deleted: false",""
"passed","Tue Apr 11 16:20:51 CEST 2023","Tue Apr 11 16:20:52 CEST 2023","1220","Google Chrome","task-deletion.spec.ts","","","","The only task can be deleted",""
"passed","Tue Apr 11 16:20:50 CEST 2023","Tue Apr 11 16:20:51 CEST 2023","1055","Google Chrome","task-creation.spec.ts","","","","No limitations for date provided (""11.04.2023"")",""
"passed","Tue Apr 11 16:20:50 CEST 2023","Tue Apr 11 16:20:51 CEST 2023","1130","Google Chrome","task-creation.spec.ts","","","","No limitations for estimation (""-1"")",""
"passed","Tue Apr 11 16:20:55 CEST 2023","Tue Apr 11 16:21:02 CEST 2023","6992","Google Chrome","task-statuses.spec.ts","","","","Timer is shown in button text",""
"passed","Tue Apr 11 16:20:52 CEST 2023","Tue Apr 11 16:20:53 CEST 2023","1499","Google Chrome","task-deletion.spec.ts","","","","Task from the middle can be deleted",""
"passed","Tue Apr 11 16:20:53 CEST 2023","Tue Apr 11 16:20:54 CEST 2023","1225","Google Chrome","task-statuses.spec.ts","","","","in progress -> in progress: false",""
"passed","Tue Apr 11 16:20:53 CEST 2023","Tue Apr 11 16:20:54 CEST 2023","1060","Google Chrome","task-statuses.spec.ts","","","","waiting -> done: false",""
"passed","Tue Apr 11 16:20:50 CEST 2023","Tue Apr 11 16:20:51 CEST 2023","1136","Google Chrome","task-creation.spec.ts","","","","No limitations for estimation ("""")",""
"passed","Tue Apr 11 16:20:51 CEST 2023","Tue Apr 11 16:20:52 CEST 2023","1129","Google Chrome","task-creation.spec.ts","","","","New task is in waiting status",""
"passed","Tue Apr 11 16:20:53 CEST 2023","Tue Apr 11 16:20:55 CEST 2023","1593","Google Chrome","task-statuses.spec.ts","","","","in progress -> done: true",""
"passed","Tue Apr 11 16:20:52 CEST 2023","Tue Apr 11 16:20:53 CEST 2023","1200","Google Chrome","task-statuses.spec.ts","","","","waiting -> in progress: true",""
"passed","Tue Apr 11 16:20:48 CEST 2023","Tue Apr 11 16:20:50 CEST 2023","1887","Google Chrome","task-creation.spec.ts","","","","No limitations for date provided (""10.04.2023"")",""
